datetime64_ns,filename,datetime64_ns,lat,lon,predicted
2019-02-05 12:56:38.433926,label_2019_02_05_12_56_38_433926.png,2019-02-05 12:56:38.433926,47.59813565061892,-122.33136242422586,0.9514717
2019-02-05 12:56:38.897547,label_2019_02_05_12_56_38_897547.png,2019-02-05 12:56:38.897547,47.59813978611931,-122.33135425522171,0.9705759
2019-02-05 12:56:39.533647,label_2019_02_05_12_56_39_533647.png,2019-02-05 12:56:39.533647,47.59815112212794,-122.33135102516223,0.9717969
2019-02-05 12:56:40.845674,label_2019_02_05_12_56_40_845674.png,2019-02-05 12:56:40.845674,47.59817235696493,-122.33135720501758,0.95487493
2019-02-05 12:56:41.509855,label_2019_02_05_12_56_41_509855.png,2019-02-05 12:56:41.509855,47.598175344979566,-122.33136940971389,0.9728095
2019-02-05 12:56:42.558453,label_2019_02_05_12_56_42_558453.png,2019-02-05 12:56:42.558453,47.598172208751706,-122.33139332105523,0.95813257
2019-02-05 12:56:43.610849,label_2019_02_05_12_56_43_610849.png,2019-02-05 12:56:43.610849,47.59816002002407,-122.33141333209856,0.9602405
2019-02-05 12:56:44.644918,label_2019_02_05_12_56_44_644918.png,2019-02-05 12:56:44.644918,47.59814385906584,-122.33143038903906,0.9705353
2019-02-05 12:56:45.516188,label_2019_02_05_12_56_45_516188.png,2019-02-05 12:56:45.516188,47.59813043266708,-122.33144581202978,0.95140636
2019-02-05 12:56:46.815591,label_2019_02_05_12_56_46_815591.png,2019-02-05 12:56:46.815591,47.598118891835895,-122.33147104756006,0.97453827
2019-02-05 12:56:47.568026,label_2019_02_05_12_56_47_568026.png,2019-02-05 12:56:47.568026,47.59812105550414,-122.33148851487138,0.9525708
2019-02-05 12:56:48.501792,label_2019_02_05_12_56_48_501792.png,2019-02-05 12:56:48.501792,47.5981291855184,-122.33151624171649,0.95601976
2019-02-05 12:56:49.589330,label_2019_02_05_12_56_49_589330.png,2019-02-05 12:56:49.589330,47.598143523683326,-122.33155973126082,0.96154577
2019-02-05 12:56:50.560906,label_2019_02_05_12_56_50_560906.png,2019-02-05 12:56:50.560906,47.59815688225933,-122.3316005667209,0.95257
2019-02-05 12:56:51.518439,label_2019_02_05_12_56_51_518439.png,2019-02-05 12:56:51.518439,47.59816886163572,-122.33164008441281,0.95305145
2019-02-05 12:56:52.552493,label_2019_02_05_12_56_52_552493.png,2019-02-05 12:56:52.552493,47.59818041250257,-122.33168163363362,0.955755
2019-02-05 12:56:53.593083,label_2019_02_05_12_56_53_593083.png,2019-02-05 12:56:53.593083,47.598189836524696,-122.33172149135099,0.95037514
2019-02-05 12:56:54.638128,label_2019_02_05_12_56_54_638128.png,2019-02-05 12:56:54.638128,47.59819965995716,-122.33175060746015,0.9689426
2019-02-05 12:56:55.502894,label_2019_02_05_12_56_55_502894.png,2019-02-05 12:56:55.502894,47.598208916863825,-122.33176409842663,0.9834405
2019-02-05 12:56:57.363781,label_2019_02_05_12_56_57_363781.png,2019-02-05 12:56:57.363781,47.59823390114066,-122.33179277538356,0.9694288
2019-02-05 12:56:57.725775,label_2019_02_05_12_56_57_725775.png,2019-02-05 12:56:57.725775,47.59823902697548,-122.33179941797316,0.953513
2019-02-05 12:56:58.836780,label_2019_02_05_12_56_58_836780.png,2019-02-05 12:56:58.836780,47.59826284210036,-122.33182570421282,0.9520842
2019-02-05 12:56:59.589014,label_2019_02_05_12_56_59_589014.png,2019-02-05 12:56:59.589014,47.598283829076884,-122.33184637184316,0.9653577
