datetime64_ns,filename,datetime64_ns,lat,lon,predicted
2019-02-05 12:56:38.148909,label_2019_02_05_12_56_38_148909.png,2019-02-05 12:56:38.148909,47.59813310826878,-122.33136744622244,0.94209164
2019-02-05 12:56:38.164533,label_2019_02_05_12_56_38_164533.png,2019-02-05 12:56:38.164533,47.598133247634294,-122.33136717092869,0.93897045
2019-02-05 12:56:38.180159,label_2019_02_05_12_56_38_180159.png,2019-02-05 12:56:38.180159,47.598133387018066,-122.33136689559885,0.94215435
2019-02-05 12:56:38.195786,label_2019_02_05_12_56_38_195786.png,2019-02-05 12:56:38.195786,47.59813352641098,-122.33136662025096,0.94359833
2019-02-05 12:56:38.249029,label_2019_02_05_12_56_38_249029.png,2019-02-05 12:56:38.249029,47.59813400133975,-122.3313656821069,0.9438428
2019-02-05 12:56:38.280283,label_2019_02_05_12_56_38_280283.png,2019-02-05 12:56:38.280283,47.59813428012329,-122.33136513141565,0.9419087
2019-02-05 12:56:38.311530,label_2019_02_05_12_56_38_311530.png,2019-02-05 12:56:38.311530,47.59813455884746,-122.33136458084168,0.9408067
2019-02-05 12:56:38.333656,label_2019_02_05_12_56_38_333656.png,2019-02-05 12:56:38.333656,47.59813475621209,-122.33136419098015,0.9431061
2019-02-05 12:56:38.396148,label_2019_02_05_12_56_38_396148.png,2019-02-05 12:56:38.396148,47.59813531363988,-122.33136308987281,0.9443187
2019-02-05 12:56:38.433926,label_2019_02_05_12_56_38_433926.png,2019-02-05 12:56:38.433926,47.59813565061892,-122.33136242422586,0.9514717
2019-02-05 12:56:38.465175,label_2019_02_05_12_56_38_465175.png,2019-02-05 12:56:38.465175,47.59813592936136,-122.33136187361579,0.115431175
2019-02-05 12:56:38.496426,label_2019_02_05_12_56_38_496426.png,2019-02-05 12:56:38.496426,47.59813620811978,-122.33136132297416,0.3633432
2019-02-05 12:56:38.534214,label_2019_02_05_12_56_38_534214.png,2019-02-05 12:56:38.534214,47.598136545187884,-122.3313606571513,0.6845582
